Watchmen,Zack Snyder,162
Superbad,Greg Mottola,113
Inferno,Ron Howard,121
The BFG,Steven Spielberg,117
The Hunger Games,Gary Ross,142
White Girl,Elizabeth Wood,88
Sicario,Denis Villeneuve,121
Twin Peaks: The Missing Pieces,David Lynch,91
Aliens vs Predator - Requiem,Colin Strause,94
Pacific Rim,Guillermo del Toro,131
"Crazy, Stupid, Love.",Glenn Ficarra,118
Scott Pilgrim vs. the World,Edgar Wright,112
Hot Fuzz,Edgar Wright,121
Mine,Fabio Guaglione,106
Free Fire,Ben Wheatley,90
X-Men: Days of Future Past,Bryan Singer,132
Jack Reacher: Never Go Back,Edward Zwick,118
Casino Royale,Martin Campbell,144
Twilight,Catherine Hardwicke,122
Now You See Me 2,Jon M. Chu,129
Woman in Gold,Simon Curtis,109
13 Hours,Michael Bay,144
Spectre,Sam Mendes,148
Nightcrawler,Dan Gilroy,118
Kubo and the Two Strings,Travis Knight,101
Beyond the Gates,Jackson Stewart,84
Her,Spike Jonze,126
Frozen,Chris Buck,102
Tomorrowland,Brad Bird,130
Dawn of the Planet of the Apes,Matt Reeves,130
Tropic Thunder,Ben Stiller,107
The Conjuring 2,James Wan,134
Ant-Man,Peyton Reed,117
Bridget Jones's Baby,Sharon Maguire,118
The VVitch: A New-England Folktale,Robert Eggers,92
Cinderella,Kenneth Branagh,105
Realive,Mateo Gil,112
Forushande,Asghar Farhadi,124
Love,Gaspar Noé,135
Billy Lynn's Long Halftime Walk,Ang Lee,113
Crimson Peak,Guillermo del Toro,119
Drive,Nicolas Winding Refn,100
Trainwreck,Judd Apatow,125
The Light Between Oceans,Derek Cianfrance,133
Below Her Mouth,April Mullen,94
Spotlight,Tom McCarthy,128
Morgan,Luke Scott,92
Warrior,Gavin O'Connor,140
Captain America: The First Avenger,Joe Johnston,124
Hacker,Akan Satayev,95
Into the Wild,Sean Penn,148
The Imitation Game,Morten Tyldum,114
Central Intelligence,Rawson Marshall Thurber,107
Edge of Tomorrow,Doug Liman,113
A Cure for Wellness,Gore Verbinski,146
Snowden,Oliver Stone,134
Iron Man,Jon Favreau,126
Allegiant,Robert Schwentke,120
X: First Class,Matthew Vaughn,132
Raw (II),Julia Ducournau,99
Paterson,Jim Jarmusch,118
Bridesmaids,Paul Feig,125
The Girl with All the Gifts,Colm McCarthy,111
San Andreas,Brad Peyton,114
Spring Breakers,Harmony Korine,94
Transformers,Michael Bay,144
Old Boy,Spike Lee,104
Thor: The Dark World,Alan Taylor,112
Gods of Egypt,Alex Proyas,126
Captain America: The Winter Soldier,Anthony Russo,136
Monster Trucks,Chris Wedge,104
A Dark Song,Liam Gavin,100
Kick-Ass,Matthew Vaughn,117
Hardcore Henry,Ilya Naishuller,96
Cars,John Lasseter,117
It Follows,David Robert Mitchell,100
The Girl with the Dragon Tattoo,David Fincher,158
We're the Millers,Rawson Marshall Thurber,110
American Honey,Andrea Arnold,163
The Lobster,Yorgos Lanthimos,119
Predators,Nimród Antal,107
Maleficent,Robert Stromberg,97
Rupture,Steven Shainberg,102
Pan's Labyrinth,Guillermo del Toro,118
A Kind of Murder,Andy Goddard,95
Apocalypto,Mel Gibson,139
Mission: Impossible - Rogue Nation,Christopher McQuarrie,131
The Huntsman: Winter's War,Cedric Nicolas-Troyan,114
The Perks of Being a Wallflower,Stephen Chbosky,102
Jackie,Pablo Larraín,100
The Disappointments Room,D.J. Caruso,85
The Grand Budapest Hotel,Wes Anderson,99
The Host,Andrew Niccol,125
Fury,David Ayer,134
Inside Out,Pete Docter,95
Rock Dog,Ash Brannon,90
Terminator Genisys,Alan Taylor,126
Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,118
Les Misérables,Tom Hooper,158
Children of Men,Alfonso Cuarón,109
20th Century Women,Mike Mills,119
Spy,Paul Feig,119
The Intouchables,Olivier Nakache,112
Bonjour Anne,Eleanor Coppola,92
Kynodontas,Yorgos Lanthimos,94
Straight Outta Compton,F. Gary Gray,147
The Amazing Spider-Man 2,Marc Webb,142
The Conjuring,James Wan,112
The Hangover,Todd Phillips,100
Battleship,Peter Berg,131
Rise of the Planet of the Apes,Rupert Wyatt,105
Lights Out,David F. Sandberg,81
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Joseph Cedar,118
Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,119
Black Swan,Darren Aronofsky,108
Dear White People,Justin Simien,108
Nymphomaniac: Vol. I,Lars von Trier,117
Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,112
Knock Knock,Eli Roth,99
Dirty Grandpa,Dan Mazer,102
Cloud Atlas,Tom Tykwer,172
X-Men Origins: Wolverine,Gavin Hood,107
Satanic,Jeffrey G. Hunt,85
Skyfall,Sam Mendes,143
The Hobbit: An Unexpected Journey,Peter Jackson,169
21 Jump Street,Phil Lord,110
Sing Street,John Carney,106
Ballerina,Eric Summer,89
Oblivion,Joseph Kosinski,124
22 Jump Street,Phil Lord,112
Zodiac,David Fincher,157
Everybody Wants Some!!,Richard Linklater,117
Iron Man Three,Shane Black,130
Now You See Me,Louis Leterrier,115
Sherlock Holmes,Guy Ritchie,128
Death Proof,Quentin Tarantino,113
The Danish Girl,Tom Hooper,119
Hercules,Brett Ratner,98
Sucker Punch,Zack Snyder,110
Keeping Up with the Joneses,Greg Mottola,105
Jupiter Ascending,Lana Wachowski,127
Masterminds,Jared Hess,95
Iris,Jalil Lespert,99
Busanhaeng,Sang-ho Yeon,118
Pitch Perfect,Jason Moore,112
Neighbors 2: Sorority Rising,Nicholas Stoller,92
The Exception,David Leveaux,107
Man of Steel,Zack Snyder,143
The Choice,Ross Katz,111
Ice Age: Collision Course,Mike Thurmeier,94
The Devil Wears Prada,David Frankel,109
The Infiltrator,Brad Furman,127
There Will Be Blood,Paul Thomas Anderson,158
The Equalizer,Antoine Fuqua,132
Lone Survivor,Peter Berg,121
The Cabin in the Woods,Drew Goddard,95
The House Bunny,Fred Wolf,97
She's Out of My League,Jim Field Smith,104
Inherent Vice,Paul Thomas Anderson,148
Alice Through the Looking Glass,James Bobin,113
Vincent N Roxxy,Gary Michael Schultz,110
The Fast and the Furious: Tokyo Drift,Justin Lin,104
How to Be Single,Christian Ditter,110
The Blind Side,John Lee Hancock,129
La vie d'Adèle,Abdellatif Kechiche,180
The Babadook,Jennifer Kent,93
The Hobbit: The Battle of the Five Armies,Peter Jackson,144
Harry Potter and the Order of the Phoenix,David Yates,138
Snowpiercer,Bong Joon Ho,126
The 5th Wave,J Blakeson,112
The Stakelander,Dan Berk,81
The Visit,M. Night Shyamalan,94
Fast Five,Justin Lin,131
Step Up,Anne Fletcher,104
Lovesong,So Yong Kim,84
RocknRolla,Guy Ritchie,114
In Time,Andrew Niccol,109
The Social Network,David Fincher,120
The Last Witch Hunter,Breck Eisner,106
Victor Frankenstein,Paul McGuigan,110
A Street Cat Named Bob,Roger Spottiswoode,103
Green Room,Jeremy Saulnier,95
Blackhat,Michael Mann,133
Storks,Nicholas Stoller,87
American Sniper,Clint Eastwood,133
Dallas Buyers Club,Jean-Marc Vallée,117
Lincoln,Steven Spielberg,150
Rush,Ron Howard,123
Before I Wake,Mike Flanagan,97
Silver Linings Playbook,David O. Russell,122
Tracktown,Alexi Pappas,88
The Fault in Our Stars,Josh Boone,126
Blended,Frank Coraci,117
Fast & Furious,Justin Lin,107
Looper,Rian Johnson,119
White House Down,Roland Emmerich,131
Pete's Dragon,David Lowery,102
Spider-Man 3,Sam Raimi,139
The Three Musketeers,Paul W.S. Anderson,110
Stardust,Matthew Vaughn,127
American Hustle,David O. Russell,138
Jennifer's Body,Karyn Kusama,102
Midnight in Paris,Woody Allen,94
Lady Macbeth,William Oldroyd,89
Joy,David O. Russell,124
The Dressmaker,Jocelyn Moorhouse,119
Café Society,Woody Allen,96
Insurgent,Robert Schwentke,119
Seventh Son,Sergei Bodrov,102
Demain tout commence,Hugo Gélin,118
The Theory of Everything,James Marsh,123
This Is the End,Evan Goldberg,107
About Time,Richard Curtis,123
Step Brothers,Adam McKay,98
Clown,Jon Watts,100
Star Trek Into Darkness,J.J. Abrams,132
Zombieland,Ruben Fleischer,88
"Hail, Caesar!",Ethan Coen,106
Slumdog Millionaire,Danny Boyle,120
The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,115
American Wrestler: The Wizard,Alex Ranarivelo,117
The Amazing Spider-Man,Marc Webb,136
Ben-Hur,Timur Bekmambetov,123
Sleight,J.D. Dillard,89
The Maze Runner,Wes Ball,113
Criminal,Ariel Vromen,113
Wanted,Timur Bekmambetov,110
Florence Foster Jenkins,Stephen Frears,111
Collide,Eran Creevy,99
Black Mass,Scott Cooper,123
Creed,Ryan Coogler,133
Swiss Army Man,Dan Kwan,97
The Expendables 3,Patrick Hughes,126
What We Do in the Shadows,Jemaine Clement,86
Southpaw,Antoine Fuqua,124
Hush,Mike Flanagan,81
Bridge of Spies,Steven Spielberg,142
The Lego Movie,Phil Lord,100
Everest,Baltasar Kormákur,121
Pixels,Chris Columbus,105
Robin Hood,Ridley Scott,140
The Wolverine,James Mangold,126
John Carter,Andrew Stanton,132
Keanu,Peter Atencio,100
The Gunman,Pierre Morel,115
Steve Jobs,Danny Boyle,122
Whisky Galore,Gillies MacKinnon,98
Grown Ups 2,Dennis Dugan,101
The Age of Adaline,Lee Toland Krieger,112
The Incredible Hulk,Louis Leterrier,112
Couples Retreat,Peter Billingsley,113
Absolutely Anything,Terry Jones,85
Magic Mike,Steven Soderbergh,110
Minions,Kyle Balda,91
The Black Room,Rolfe Kanefsky,91
Bronson,Nicolas Winding Refn,92
Despicable Me,Pierre Coffin,95
The Best of Me,Michael Hoffman,118
The Invitation,Karyn Kusama,100
Zero Dark Thirty,Kathryn Bigelow,157
Tangled,Nathan Greno,100
The Hunger Games: Mockingjay - Part 2,Francis Lawrence,137
Vacation,John Francis Daley,99
Taken,Pierre Morel,93
Pitch Perfect 2,Elizabeth Banks,115
Monsters University,Dan Scanlon,104
Elle,Paul Verhoeven,130
Mechanic: Resurrection,Dennis Gansel,98
Tusk,Kevin Smith,102
The Headhunter's Calling,Mark Williams,108
Atonement,Joe Wright,123
Harry Potter and the Deathly Hallows: Part 1,David Yates,146
Shame,Steve McQueen,101
Hanna,Joe Wright,111
The Babysitters,David Ross,88
Pride and Prejudice and Zombies,Burr Steers,108
300: Rise of an Empire,Noam Murro,102
London Has Fallen,Babak Najafi,99
The Curious Case of Benjamin Button,David Fincher,166
Sin City: A Dame to Kill For,Frank Miller,102
The Bourne Ultimatum,Paul Greengrass,115
Srpski film,Srdjan Spasojevic,104
The Purge: Election Year,James DeMonaco,109
3 Idiots,Rajkumar Hirani,170
Zoolander 2,Ben Stiller,102
World War Z,Marc Forster,116
Mission: Impossible - Ghost Protocol,Brad Bird,132
Let Me Make You a Martyr,Corey Asraf,102
Filth,Jon S. Baird,97
The Longest Ride,George Tillman Jr.,123
The imposible,J.A. Bayona,114
Kick-Ass 2,Jeff Wadlow,103
Folk Hero & Funny Guy,Jeff Grace,88
Oz the Great and Powerful,Sam Raimi,130
Brooklyn,John Crowley,117
Coraline,Henry Selick,100
Blue Valentine,Derek Cianfrance,112
The Thinning,Michael J. Gallagher,81
Silent Hill,Christophe Gans,125
Dredd,Pete Travis,95
Hunt for the Wilderpeople,Taika Waititi,101
Big Hero 6,Don Hall,102
Carrie,Kimberly Peirce,100
Iron Man 2,Jon Favreau,124
Demolition,Jean-Marc Vallée,101
Pandorum,Christian Alvart,108
Olympus Has Fallen,Antoine Fuqua,119
I Am Number Four,D.J. Caruso,109
Jagten,Thomas Vinterberg,115
The Proposal,Anne Fletcher,108
Get Hard,Etan Cohen,100
Just Go with It,Dennis Dugan,117
Revolutionary Road,Sam Mendes,119
The Town,Ben Affleck,125
The Boy,William Brent Bell,97
Denial,Mick Jackson,109
Predestination,Michael Spierig,97
Goosebumps,Rob Letterman,103
Sherlock Holmes: A Game of Shadows,Guy Ritchie,129
Salt,Phillip Noyce,100
Enemy,Denis Villeneuve,91
District 9,Neill Blomkamp,112
The Other Guys,Adam McKay,107
American Gangster,Ridley Scott,157
Marie Antoinette,Sofia Coppola,123
2012,Roland Emmerich,158
Harry Potter and the Half-Blood Prince,David Yates,153
Argo,Ben Affleck,120
Eddie the Eagle,Dexter Fletcher,106
The Lives of Others,Florian Henckel von Donnersmarck,137
Pet,Carles Torrens,94
Paint It Black,Amber Tamblyn,96
Macbeth,Justin Kurzel,113
